Model,Mean AUC,Mean F1,Mean ACC
LightGBM,0.9493478938894644,0.6638976029660638,0.9814579629159258
TabNet,0.8888699612039389,0.4483067512427847,0.9500804334942003
XGBClassifier,0.9518593645901777,0.6613217796370416,0.9813732960799255
